,id,mean_income,year
0,01001,67651,16
1,01003,70277,16
2,01005,45280,16
3,01007,53863,16
4,01009,56439,16
5,01011,41123,16
6,01013,46699,16
7,01015,55559,16
8,01017,50369,16
9,01019,52972,16
10,01021,56521,16
11,01023,48320,16
12,01025,49910,16
13,01027,50719,16
14,01029,48288,16
15,01031,63566,16
16,01033,55389,16
17,01035,38210,16
18,01037,42982,16
19,01039,51998,16
20,01041,49778,16
21,01043,52719,16
22,01045,56174,16
23,01047,43125,16
24,01049,49257,16
25,01051,67663,16
26,01053,46106,16
27,01055,52903,16
28,01057,48430,16
29,01059,47654,16
30,01061,48969,16
31,01063,33595,16
32,01065,47557,16
33,01067,54835,16
34,01069,60028,16
35,01071,50214,16
36,01073,68834,16
37,01075,47199,16
38,01077,58664,16
39,01079,53977,16
40,01081,63459,16
41,01083,68858,16
42,01085,44716,16
43,01087,44473,16
44,01089,81399,16
45,01091,46155,16
46,01093,49808,16
47,01095,56599,16
48,01097,59663,16
49,01099,40617,16
50,01101,63847,16
51,01103,60488,16
52,01105,37608,16
53,01107,46057,16
54,01109,49796,16
55,01111,47764,16
56,01113,51839,16
57,01115,64678,16
58,01117,89768,16
59,01119,33521,16
60,01121,50680,16
61,01123,51750,16
62,01125,64397,16
63,01127,51039,16
64,01129,50462,16
65,01131,37636,16
66,01133,45481,16
67,02013,76438,16
68,02016,97226,16
69,02020,102500,16
70,02050,66578,16
71,02060,95439,16
72,02068,93033,16
73,02070,70290,16
74,02090,89903,16
75,02100,73554,16
76,02105,67258,16
77,02110,104005,16
78,02122,80661,16
79,02130,80949,16
80,02150,86509,16
81,02158,47861,16
82,02164,59022,16
83,02170,87103,16
84,02180,68100,16
85,02185,88304,16
86,02188,77568,16
87,02195,82803,16
88,02198,64102,16
89,02220,82734,16
90,02230,78383,16
91,02240,73260,16
92,02261,92264,16
93,02275,65759,16
94,02282,69544,16
95,02290,53266,16
96,04001,42584,16
97,04003,58772,16
98,04005,69267,16
99,04007,51779,16
100,04009,56890,16
101,04011,65685,16
102,04012,46883,16
103,04013,77004,16
104,04015,52925,16
105,04017,49084,16
106,04019,64779,16
107,04021,62662,16
108,04023,55292,16
109,04025,60596,16
110,04027,54737,16
111,05001,54509,16
112,05003,50224,16
113,05005,51008,16
114,05007,79310,16
115,05009,52517,16
116,05011,48472,16
117,05013,49430,16
118,05015,50812,16
119,05017,46720,16
120,05019,49424,16
121,05021,43509,16
122,05023,58008,16
123,05025,53817,16
124,05027,49736,16
125,05029,53354,16
126,05031,61694,16
127,05033,53921,16
128,05035,52343,16
129,05037,52138,16
130,05039,42952,16
131,05041,39918,16
132,05043,47240,16
133,05045,65609,16
134,05047,49614,16
135,05049,45181,16
136,05051,57619,16
137,05053,62971,16
138,05055,54737,16
139,05057,46014,16
140,05059,54251,16
141,05061,56581,16
142,05063,55132,16
143,05065,44942,16
144,05067,47747,16
145,05069,50068,16
146,05071,47790,16
147,05073,55052,16
148,05075,44204,16
149,05077,38354,16
150,05079,47405,16
151,05081,48218,16
152,05083,50807,16
153,05085,65129,16
154,05087,56744,16
155,05089,43544,16
156,05091,52033,16
157,05093,48636,16
158,05095,44005,16
159,05097,47323,16
160,05099,42090,16
161,05101,43082,16
162,05103,45567,16
163,05105,58297,16
164,05107,42212,16
165,05109,48380,16
166,05111,43508,16
167,05113,44273,16
168,05115,54891,16
169,05117,45960,16
170,05119,68381,16
171,05121,48225,16
172,05123,43603,16
173,05125,69829,16
174,05127,45176,16
175,05129,47713,16
176,05131,57751,16
177,05133,47852,16
178,05135,45090,16
179,05137,46825,16
180,05139,53688,16
181,05141,46633,16
182,05143,65749,16
183,05145,58434,16
184,05147,40506,16
185,05149,51693,16
186,06001,107194,16
187,06003,82922,16
188,06005,70061,16
189,06007,63127,16
190,06009,75402,16
191,06011,74958,16
192,06013,113991,16
193,06015,56408,16
194,06017,97008,16
195,06019,65011,16
196,06021,56840,16
197,06023,57720,16
198,06025,58039,16
199,06027,63636,16
200,06029,67324,16
201,06031,64162,16
202,06033,51588,16
203,06035,64764,16
204,06037,85514,16
205,06039,62305,16
206,06041,154618,16
207,06043,64433,16
208,06045,61508,16
209,06047,61146,16
210,06049,50463,16
211,06051,74086,16
212,06053,83797,16
213,06055,104226,16
214,06057,78404,16
215,06059,106952,16
216,06061,99830,16
217,06063,66323,16
218,06065,76234,16
219,06067,76827,16
220,06069,89710,16
221,06071,70728,16
222,06073,90685,16
223,06075,127625,16
224,06077,73103,16
225,06079,83747,16
226,06081,141122,16
227,06083,91831,16
228,06085,134762,16
229,06087,96195,16
230,06089,61707,16
231,06091,69544,16
232,06093,52993,16
233,06095,86345,16
234,06097,91256,16
235,06099,68893,16
236,06101,71108,16
237,06103,55517,16
238,06105,50357,16
239,06107,59859,16
240,06109,70171,16
241,06111,103512,16
242,06113,81555,16
243,06115,60862,16
244,08001,75365,16
245,08003,47163,16
246,08005,91236,16
247,08007,63380,16
248,08009,50308,16
249,08011,48719,16
250,08013,99755,16
251,08014,105718,16
252,08015,64280,16
253,08017,63156,16
254,08019,91677,16
255,08021,48703,16
256,08023,44986,16
257,08025,42579,16
258,08027,49587,16
259,08029,59903,16
260,08031,83293,16
261,08033,50220,16
262,08035,129949,16
263,08037,105296,16
264,08039,108072,16
265,08041,78509,16
266,08043,54172,16
267,08045,78128,16
268,08047,81334,16
269,08049,75515,16
270,08051,61646,16
271,08053,64270,16
272,08055,51580,16
273,08057,55381,16
274,08059,93255,16
275,08061,52600,16
276,08063,63400,16
277,08065,61140,16
278,08067,78246,16
279,08069,81601,16
280,08071,54993,16
281,08073,55731,16
282,08075,56476,16
283,08077,65444,16
284,08079,66321,16
285,08081,66438,16
286,08083,53541,16
287,08085,55363,16
288,08087,62657,16
289,08089,47791,16
290,08091,75082,16
291,08093,75115,16
292,08095,63875,16
293,08097,125593,16
294,08099,52138,16
295,08101,55932,16
296,08103,68327,16
297,08105,55552,16
298,08107,85620,16
299,08109,51533,16
300,08111,56263,16
301,08113,78816,16
302,08115,54815,16
