,id,mean_income,year
0,01001,66457,11
1,01003,67770,11
2,01005,42287,11
3,01007,50574,11
4,01009,55558,11
5,01011,50935,11
6,01013,41259,11
7,01015,51382,11
8,01017,42625,11
9,01019,50070,11
10,01021,54452,11
11,01023,44930,11
12,01025,47093,11
13,01027,43768,11
14,01029,49767,11
15,01031,57752,11
16,01033,51607,11
17,01035,44239,11
18,01037,48836,11
19,01039,49583,11
20,01041,53009,11
21,01043,51374,11
22,01045,54817,11
23,01047,43028,11
24,01049,49004,11
25,01051,65836,11
26,01053,43175,11
27,01055,51330,11
28,01057,43045,11
29,01059,47503,11
30,01061,47285,11
31,01063,38467,11
32,01065,41392,11
33,01067,49068,11
34,01069,57537,11
35,01071,47438,11
36,01073,66409,11
37,01075,49427,11
38,01077,53161,11
39,01079,49098,11
40,01081,56979,11
41,01083,62843,11
42,01085,46229,11
43,01087,42088,11
44,01089,76342,11
45,01091,47426,11
46,01093,43452,11
47,01095,53044,11
48,01097,56992,11
49,01099,42652,11
50,01101,62645,11
51,01103,59417,11
52,01105,38353,11
53,01107,39644,11
54,01109,46449,11
55,01111,51041,11
56,01113,44152,11
57,01115,60603,11
58,01117,88876,11
59,01119,33896,11
60,01121,47232,11
61,01123,56213,11
62,01125,59033,11
63,01127,51787,11
64,01129,51337,11
65,01131,36605,11
66,01133,45115,11
67,02013,67263,11
68,02016,82729,11
69,02020,94073,11
70,02050,69727,11
71,02060,91508,11
72,02068,83741,11
73,02070,74417,11
74,02090,81952,11
75,02100,66432,11
76,02105,61984,11
77,02110,93994,11
78,02122,73367,11
79,02130,71835,11
80,02150,75206,11
81,02164,59655,11
82,02170,81319,11
83,02180,67008,11
84,02185,85856,11
85,02188,69215,11
86,02195,74481,11
87,02198,60413,11
88,02220,79736,11
89,02230,88057,11
90,02240,70878,11
91,02261,77849,11
92,02270,48736,11
93,02275,71537,11
94,02282,85346,11
95,02290,48366,11
96,04001,41584,11
97,04003,59099,11
98,04005,63513,11
99,04007,48895,11
100,04009,51163,11
101,04011,52073,11
102,04012,42936,11
103,04013,74071,11
104,04015,51957,11
105,04017,50506,11
106,04019,62891,11
107,04021,60945,11
108,04023,55472,11
109,04025,59676,11
110,04027,52458,11
111,05001,51988,11
112,05003,46711,11
113,05005,48225,11
114,05007,69311,11
115,05009,51949,11
116,05011,45772,11
117,05013,39311,11
118,05015,48745,11
119,05017,40051,11
120,05019,48255,11
121,05021,42247,11
122,05023,50548,11
123,05025,48662,11
124,05027,50456,11
125,05029,48317,11
126,05031,57343,11
127,05033,49093,11
128,05035,49387,11
129,05037,46817,11
130,05039,41289,11
131,05041,45709,11
132,05043,44414,11
133,05045,60997,11
134,05047,48674,11
135,05049,43263,11
136,05051,53158,11
137,05053,59606,11
138,05055,48315,11
139,05057,45130,11
140,05059,47542,11
141,05061,49248,11
142,05063,48926,11
143,05065,41768,11
144,05067,41948,11
145,05069,50027,11
146,05071,46650,11
147,05073,44703,11
148,05075,38506,11
149,05077,33199,11
150,05079,47487,11
151,05081,48511,11
152,05083,49800,11
153,05085,60400,11
154,05087,47310,11
155,05089,44740,11
156,05091,50281,11
157,05093,47918,11
158,05095,40020,11
159,05097,50267,11
160,05099,49298,11
161,05101,39500,11
162,05103,44183,11
163,05105,50903,11
164,05107,41154,11
165,05109,44875,11
166,05111,41857,11
167,05113,44723,11
168,05115,52254,11
169,05117,43346,11
170,05119,65615,11
171,05121,46251,11
172,05123,38041,11
173,05125,64491,11
174,05127,46671,11
175,05129,34843,11
176,05131,58619,11
177,05133,43150,11
178,05135,37254,11
179,05137,39064,11
180,05139,51393,11
181,05141,42978,11
182,05143,59173,11
183,05145,54497,11
184,05147,42648,11
185,05149,46340,11
186,06001,94035,11
187,06003,81595,11
188,06005,73405,11
189,06007,57911,11
190,06009,68942,11
191,06011,62210,11
192,06013,104712,11
193,06015,51726,11
194,06017,88422,11
195,06019,64189,11
196,06021,59375,11
197,06023,57356,11
198,06025,55874,11
199,06027,62042,11
200,06029,63893,11
201,06031,62379,11
202,06033,53777,11
203,06035,63417,11
204,06037,81636,11
205,06039,62827,11
206,06041,130703,11
207,06043,61656,11
208,06045,58079,11
209,06047,60033,11
210,06049,49554,11
211,06051,69593,11
212,06053,80672,11
213,06055,94894,11
214,06057,74488,11
215,06059,101382,11
216,06061,92249,11
217,06063,58752,11
218,06065,75907,11
219,06067,73150,11
220,06069,82360,11
221,06071,70778,11
222,06073,84949,11
223,06075,105753,11
224,06077,71083,11
225,06079,77132,11
226,06081,123451,11
227,06083,86740,11
228,06085,116722,11
229,06087,89277,11
230,06089,58926,11
231,06091,56825,11
232,06093,50121,11
233,06095,84603,11
234,06097,84011,11
235,06099,65754,11
236,06101,64889,11
237,06103,53244,11
238,06105,51881,11
239,06107,58931,11
240,06109,63178,11
241,06111,97940,11
242,06113,79168,11
243,06115,59063,11
244,08001,68274,11
245,08003,53005,11
246,08005,81282,11
247,08007,78731,11
248,08009,48694,11
249,08011,44944,11
250,08013,92124,11
251,08014,94543,11
252,08015,59345,11
253,08017,55528,11
254,08019,77398,11
255,08021,46454,11
256,08023,41157,11
257,08025,52685,11
258,08027,58567,11
259,08029,56267,11
260,08031,71297,11
261,08033,50691,11
262,08035,120599,11
263,08037,100722,11
264,08039,94473,11
265,08041,73850,11
266,08043,51746,11
267,08045,74810,11
268,08047,71846,11
269,08049,76082,11
270,08051,67491,11
271,08053,84981,11
272,08055,47223,11
273,08057,53742,11
274,08059,86035,11
275,08061,56898,11
276,08063,54035,11
277,08065,50397,11
278,08067,73502,11
279,08069,74239,11
280,08071,53334,11
281,08073,61862,11
282,08075,57758,11
283,08077,68431,11
284,08079,97120,11
285,08081,59767,11
286,08083,59778,11
287,08085,57576,11
288,08087,52122,11
289,08089,42733,11
290,08091,75850,11
291,08093,71273,11
292,08095,50853,11
293,08097,122136,11
294,08099,48082,11
295,08101,54454,11
296,08103,71173,11
297,08105,50208,11
298,08107,80890,11
299,08109,45396,11
300,08111,44380,11
301,08113,97179,11
302,08115,51101,11
303,08117,82637,11
304,08119,69703,11
305,08121,57597,11
306,08123,69712,11
307,08125,55725,11
308,09001,132045,11
309,09003,84961,11
310,09005,91321,11
311,09007,96654,11
312,09009,82160,11
313,09011,83884,11
314,09013,93033,11
315,09015,71288,11
316,10001,64599,11
317,10003,83725,11
318,10005,68140,11
319,11001,96183,11
320,12001,61392,11
321,12003,60106,11
322,12005,60798,11
323,12007,50957,11
324,12009,66517,11
325,12011,72242,11
326,12013,41239,11
327,12015,58833,11
328,12017,51311,11
329,12019,72870,11
330,12021,94212,11
331,12023,49925,11
332,12027,47338,11
333,12029,44819,11
334,12031,65839,11
335,12033,59630,11
336,12035,60611,11
337,12037,51840,11
338,12039,46372,11
339,12041,50701,11
340,12043,49478,11
341,12045,49654,11
342,12047,48899,11
343,12049,51720,11
344,12051,48507,11
345,12053,53374,11
346,12055,45768,11
347,12057,69276,11
348,12059,42421,11
349,12061,73182,11
350,12063,50587,11
351,12065,52413,11
352,12067,57209,11
353,12069,62112,11
354,12071,70175,11
355,12073,64688,11
356,12075,47369,11
357,12077,51381,11
358,12079,46416,11
359,12081,65825,11
360,12083,53407,11
361,12085,84450,11
362,12086,65652,11
363,12087,82274,11
364,12089,75288,11
365,12091,70121,11
366,12093,53768,11
367,12095,68054,11
368,12097,57206,11
369,12099,81578,11
370,12101,58074,11
371,12103,64111,11
372,12105,57426,11
373,12107,45803,11
374,12109,92106,11
375,12111,58695,11
376,12113,69407,11
377,12115,71767,11
378,12117,79008,11
379,12119,55355,11
380,12121,47740,11
381,12123,49927,11
382,12125,53970,11
383,12127,58334,11
384,12129,61468,11
385,12131,64714,11
386,12133,47594,11
387,13001,46788,11
388,13003,43724,11
389,13005,43168,11
390,13007,45405,11
391,13009,48651,11
392,13011,53673,11
393,13013,58582,11
394,13015,61823,11
395,13017,42575,11
396,13019,43169,11
397,13021,56548,11
398,13023,51315,11
399,13025,47430,11
400,13027,55738,11
401,13029,78991,11
402,13031,48373,11
403,13033,42248,11
404,13035,58918,11
405,13037,41783,11
406,13039,59066,11
407,13043,47062,11
408,13045,57058,11
409,13047,57651,11
410,13049,51278,11
411,13051,63073,11
412,13053,57795,11
413,13055,40539,11
414,13057,82591,11
415,13059,51588,11
416,13061,32870,11
417,13063,52521,11
418,13065,40445,11
419,13067,87529,11
420,13069,47571,11
421,13071,47837,11
422,13073,82880,11
423,13075,48755,11
424,13077,71379,11
425,13079,51032,11
426,13081,43660,11
427,13083,55737,11
428,13085,67466,11
429,13087,47053,11
430,13089,72329,11
431,13091,44185,11
432,13093,44910,11
433,13095,48502,11
434,13097,68050,11
435,13099,44566,11
436,13101,42353,11
437,13103,68401,11
438,13105,45115,11
439,13107,42982,11
440,13109,47800,11
441,13111,46459,11
442,13113,98083,11
443,13115,56491,11
444,13117,105636,11
445,13119,48165,11
446,13121,91626,11
447,13123,50744,11
448,13125,45652,11
449,13127,68753,11
450,13129,50526,11
451,13131,46099,11
452,13133,61085,11
453,13135,78568,11
454,13137,54290,11
455,13139,70629,11
456,13141,33617,11
457,13143,51235,11
458,13145,84027,11
459,13147,48212,11
460,13149,45831,11
461,13151,74179,11
462,13153,67085,11
463,13155,48446,11
464,13157,62369,11
465,13159,54790,11
466,13161,43643,11
467,13163,39187,11
468,13165,41993,11
469,13167,46702,11
470,13169,61658,11
471,13171,49097,11
472,13173,48469,11
473,13175,50724,11
474,13177,69671,11
475,13179,54059,11
476,13181,48177,11
477,13183,44274,11
478,13185,53279,11
479,13187,54506,11
480,13189,45937,11
481,13191,49407,11
482,13193,38755,11
483,13195,52515,11
484,13197,43739,11
485,13199,46270,11
486,13201,45501,11
487,13205,46570,11
488,13207,63957,11
489,13209,46155,11
490,13211,73082,11
491,13213,45281,11
492,13215,57006,11
493,13217,60346,11
494,13219,96193,11
495,13221,54350,11
496,13223,69127,11
497,13225,53603,11
498,13227,66520,11
499,13229,47773,11
500,13231,62592,11
501,13233,48955,11
502,13235,44220,11
503,13237,64825,11
504,13239,37601,11
505,13241,51298,11
506,13243,47600,11
507,13245,51207,11
508,13247,68844,11
509,13249,45179,11
510,13251,44406,11
511,13253,51372,11
512,13255,52165,11
513,13257,49736,11
514,13259,39882,11
515,13261,48014,11
516,13263,43614,11
517,13265,33960,11
518,13267,45565,11
519,13269,40152,11
520,13271,34462,11
521,13273,41460,11
522,13275,51911,11
523,13277,49717,11
524,13279,48110,11
525,13281,48306,11
526,13283,47899,11
527,13285,54266,11
528,13287,45531,11
529,13289,43164,11
530,13291,55793,11
531,13293,43818,11
532,13295,52096,11
533,13297,63510,11
534,13299,48240,11
535,13301,41875,11
536,13303,44357,11
537,13305,51041,11
538,13307,42846,11
539,13309,37795,11
540,13311,54046,11
541,13313,57711,11
542,13315,39493,11
543,13317,40660,11
544,13319,48506,11
545,13321,48855,11
546,15001,68531,11
547,15003,87851,11
548,15005,60333,11
