GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01
Id,Id2,Geography,Estimate; Median household income in the past 12 months (in 2014 Inflation-adjusted dollars),Margin of Error; Median household income in the past 12 months (in 2014 Inflation-adjusted dollars)
0500000US02261,02261,"Valdez-Cordova Census Area, Alaska",-,**
0500000US02270,02270,"Wade Hampton Census Area, Alaska",-,**
0500000US02275,02275,"Wrangell City and Borough, Alaska",-,**
0500000US02282,02282,"Yakutat City and Borough, Alaska",-,**
0500000US02290,02290,"Yukon-Koyukuk Census Area, Alaska",-,**
0500000US04001,04001,"Apache County, Arizona",31518,6298
0500000US04003,04003,"Cochise County, Arizona",68142,23650
0500000US04005,04005,"Coconino County, Arizona",42625,23994
0500000US04007,04007,"Gila County, Arizona",65500,76265
0500000US04009,04009,"Graham County, Arizona",37847,39500
0500000US04011,04011,"Greenlee County, Arizona",101250,24433
0500000US04012,04012,"La Paz County, Arizona",-,**
0500000US04013,04013,"Maricopa County, Arizona",38474,1392
0500000US04015,04015,"Mohave County, Arizona",23229,19377
0500000US04017,04017,"Navajo County, Arizona",17446,38065
0500000US04019,04019,"Pima County, Arizona",36644,3954
0500000US04021,04021,"Pinal County, Arizona",52944,8515
0500000US04023,04023,"Santa Cruz County, Arizona",101771,33576
0500000US04025,04025,"Yavapai County, Arizona",49741,9613
0500000US04027,04027,"Yuma County, Arizona",48140,11572
0500000US05001,05001,"Arkansas County, Arkansas",26313,4181
0500000US05003,05003,"Ashley County, Arkansas",19918,2897
0500000US05005,05005,"Baxter County, Arkansas",-,**
0500000US05007,05007,"Benton County, Arkansas",71979,16759
0500000US05009,05009,"Boone County, Arkansas",-,**
0500000US05011,05011,"Bradley County, Arkansas",23610,3292
0500000US05013,05013,"Calhoun County, Arkansas",26129,4413
0500000US05015,05015,"Carroll County, Arkansas",65234,83969
0500000US05017,05017,"Chicot County, Arkansas",21016,2170
0500000US05019,05019,"Clark County, Arkansas",21410,3824
0500000US05021,05021,"Clay County, Arkansas",-,**
0500000US05023,05023,"Cleburne County, Arkansas",-,**
0500000US05025,05025,"Cleveland County, Arkansas",16118,7089
0500000US05027,05027,"Columbia County, Arkansas",20354,2350
0500000US05029,05029,"Conway County, Arkansas",27746,6637
0500000US05031,05031,"Craighead County, Arkansas",22846,5055
0500000US05033,05033,"Crawford County, Arkansas",27330,32827
0500000US05035,05035,"Crittenden County, Arkansas",26240,2301
0500000US05037,05037,"Cross County, Arkansas",21552,6474
0500000US05039,05039,"Dallas County, Arkansas",25363,2651
0500000US05041,05041,"Desha County, Arkansas",17541,1879
0500000US05043,05043,"Drew County, Arkansas",20119,4484
0500000US05045,05045,"Faulkner County, Arkansas",29187,3639
0500000US05047,05047,"Franklin County, Arkansas",44375,90559
0500000US05049,05049,"Fulton County, Arkansas",-,**
0500000US05051,05051,"Garland County, Arkansas",22414,2604
0500000US05053,05053,"Grant County, Arkansas",29926,14479
0500000US05055,05055,"Greene County, Arkansas",-,**
0500000US05057,05057,"Hempstead County, Arkansas",24033,2345
0500000US05059,05059,"Hot Spring County, Arkansas",27969,8021
0500000US05061,05061,"Howard County, Arkansas",23909,4045
0500000US05063,05063,"Independence County, Arkansas",22569,16552
0500000US05065,05065,"Izard County, Arkansas",-,**
0500000US05067,05067,"Jackson County, Arkansas",23750,5856
0500000US05069,05069,"Jefferson County, Arkansas",28394,2023
0500000US05071,05071,"Johnson County, Arkansas",12439,3470
0500000US05073,05073,"Lafayette County, Arkansas",18893,3023
0500000US05075,05075,"Lawrence County, Arkansas",-,**
0500000US05077,05077,"Lee County, Arkansas",17767,2669
0500000US05079,05079,"Lincoln County, Arkansas",18981,3531
0500000US05081,05081,"Little River County, Arkansas",25599,6966
0500000US05083,05083,"Logan County, Arkansas",17411,17812
0500000US05085,05085,"Lonoke County, Arkansas",27363,4645
0500000US05087,05087,"Madison County, Arkansas",-,**
0500000US05089,05089,"Marion County, Arkansas",-,**
0500000US05091,05091,"Miller County, Arkansas",26365,3901
0500000US05093,05093,"Mississippi County, Arkansas",24693,2532
0500000US05095,05095,"Monroe County, Arkansas",15384,2758
0500000US05097,05097,"Montgomery County, Arkansas",-,**
0500000US05099,05099,"Nevada County, Arkansas",22863,6071
0500000US05101,05101,"Newton County, Arkansas",-,**
0500000US05103,05103,"Ouachita County, Arkansas",22816,2996
0500000US05105,05105,"Perry County, Arkansas",-,**
0500000US05107,05107,"Phillips County, Arkansas",21673,2260
0500000US05109,05109,"Pike County, Arkansas",17188,24981
0500000US05111,05111,"Poinsett County, Arkansas",21276,4013
0500000US05113,05113,"Polk County, Arkansas",-,**
0500000US05115,05115,"Pope County, Arkansas",35469,15820
0500000US05117,05117,"Prairie County, Arkansas",23945,6726
0500000US05119,05119,"Pulaski County, Arkansas",31979,1067
0500000US05121,05121,"Randolph County, Arkansas",21250,34112
0500000US05123,05123,"St. Francis County, Arkansas",26123,1722
0500000US05125,05125,"Saline County, Arkansas",47143,12985
0500000US05127,05127,"Scott County, Arkansas",-,**
0500000US05129,05129,"Searcy County, Arkansas",-,**
0500000US05131,05131,"Sebastian County, Arkansas",22267,4485
0500000US05133,05133,"Sevier County, Arkansas",25000,16171
0500000US05135,05135,"Sharp County, Arkansas",-,**
0500000US05137,05137,"Stone County, Arkansas",-,**
0500000US05139,05139,"Union County, Arkansas",25732,3425
0500000US05141,05141,"Van Buren County, Arkansas",-,**
0500000US05143,05143,"Washington County, Arkansas",31017,2883
0500000US05145,05145,"White County, Arkansas",23125,7983
0500000US05147,05147,"Woodruff County, Arkansas",18255,3217
0500000US05149,05149,"Yell County, Arkansas","2,500-",***
0500000US06001,06001,"Alameda County, California",41801,1447
0500000US06003,06003,"Alpine County, California",-,**
0500000US06005,06005,"Amador County, California",57083,65694
0500000US06007,06007,"Butte County, California",38687,15178
0500000US06009,06009,"Calaveras County, California",-,**
0500000US06011,06011,"Colusa County, California",9046,13768
0500000US06013,06013,"Contra Costa County, California",50516,2139
0500000US06015,06015,"Del Norte County, California",73211,87508
0500000US06017,06017,"El Dorado County, California",99844,3635
0500000US06019,06019,"Fresno County, California",26738,3219
0500000US06021,06021,"Glenn County, California",26591,36008
0500000US06023,06023,"Humboldt County, California",28668,8292
0500000US06025,06025,"Imperial County, California",68352,29092
0500000US06027,06027,"Inyo County, California",46316,16371
0500000US06029,06029,"Kern County, California",30926,3797
0500000US06031,06031,"Kings County, California",43646,11426
0500000US06033,06033,"Lake County, California",23909,10965
0500000US06035,06035,"Lassen County, California",49758,36062
0500000US06037,06037,"Los Angeles County, California",40939,639
0500000US06039,06039,"Madera County, California",30691,18840
0500000US06041,06041,"Marin County, California",51638,9888
0500000US06043,06043,"Mariposa County, California",51136,224625
0500000US06045,06045,"Mendocino County, California",19821,12325
0500000US06047,06047,"Merced County, California",31696,7322
0500000US06049,06049,"Modoc County, California",-,**
0500000US06051,06051,"Mono County, California",-,**
0500000US06053,06053,"Monterey County, California",59504,10618
0500000US06055,06055,"Napa County, California",74609,14218
0500000US06057,06057,"Nevada County, California",60972,187635
0500000US06059,06059,"Orange County, California",65795,3411
0500000US06061,06061,"Placer County, California",69893,29386
0500000US06063,06063,"Plumas County, California",-,**
0500000US06065,06065,"Riverside County, California",52848,2321
0500000US06067,06067,"Sacramento County, California",39078,1588
0500000US06069,06069,"San Benito County, California",93204,21272
0500000US06071,06071,"San Bernardino County, California",42672,2054
0500000US06073,06073,"San Diego County, California",49569,1661
0500000US06075,06075,"San Francisco County, California",29604,3369
0500000US06077,06077,"San Joaquin County, California",39753,3033
